temperature,pressure,vibration,tool_age_hours,station,defective
224.1,3.29,0.64,195,station_3,0
229.9,3.44,1.11,472,station_1,1
224.0,3.33,1.47,33,station_3,1
204.4,3.25,1.02,136,station_1,0
230.9,3.55,0.99,495,station_3,1
225.4,3.4,1.46,370,station_2,1
213.6,4.0,0.89,307,station_2,0
227.0,3.5,0.81,222,station_1,0
224.4,3.61,0.48,78,station_3,0
223.5,3.83,0.75,274,station_1,0
220.3,3.39,1.55,592,station_3,1
226.6,4.0,0.47,357,station_1,0
211.2,3.28,0.9,346,station_3,0
218.0,3.22,0.48,594,station_2,0
214.2,3.37,0.94,531,station_3,0
227.2,3.46,1.17,600,station_2,1
220.5,3.01,0.83,572,station_3,1
216.5,3.49,1.12,400,station_3,1
210.6,2.92,1.12,183,station_2,0
216.9,3.99,1.03,377,station_2,0
220.1,3.47,1.41,209,station_3,1
216.7,3.28,1.13,486,station_3,1
235.5,3.18,0.81,82,station_3,1
232.1,3.37,0.7,278,station_3,1
187.5,3.42,0.65,504,station_3,0
197.3,3.13,1.04,273,station_3,0
217.9,3.18,0.8,361,station_3,0
214.9,3.43,1.72,59,station_2,0
222.6,3.32,1.45,171,station_2,0
222.6,3.83,0.84,573,station_2,1
245.4,3.9,0.8,394,station_2,1
206.7,3.51,1.41,219,station_2,0
215.5,3.67,0.33,310,station_1,0
244.5,3.03,0.76,465,station_1,1
227.8,3.72,1.19,472,station_2,1
228.0,3.49,0.63,497,station_3,0
213.8,3.67,0.76,174,station_1,0
200.2,4.06,0.79,143,station_1,0
222.0,2.7,1.1,383,station_3,1
221.3,3.59,0.94,316,station_2,0
205.3,3.12,1.02,339,station_2,0
211.8,3.71,1.08,129,station_3,0
219.1,3.04,0.91,191,station_3,0
208.7,3.33,1.23,451,station_3,0
218.8,3.57,0.68,215,station_2,0
221.1,3.71,0.47,454,station_2,0
220.4,3.53,0.37,28,station_3,0
213.9,3.22,0.41,571,station_2,0
227.1,3.31,0.73,125,station_1,0
230.7,3.81,1.21,287,station_3,1
223.9,3.5,0.95,553,station_3,1
210.2,2.91,0.72,152,station_2,0
228.8,3.8,0.58,136,station_2,0
214.0,3.65,0.74,591,station_3,1
230.5,3.81,0.78,543,station_3,1
207.1,3.38,0.73,319,station_3,0
231.0,3.79,0.47,37,station_2,0
219.8,3.13,0.76,363,station_1,0
205.0,3.7,1.21,151,station_2,0
216.2,3.33,0.25,128,station_2,0
220.6,3.74,0.83,559,station_3,1
223.3,3.85,0.26,372,station_1,0
208.2,3.24,0.95,266,station_3,0
206.7,3.48,0.68,38,station_1,0
222.4,3.51,0.27,223,station_3,0
214.4,3.92,0.93,518,station_1,0
222.8,3.75,1.45,182,station_3,1
229.1,3.07,0.93,194,station_3,0
200.2,3.66,1.25,364,station_2,0
223.1,3.76,0.88,151,station_1,0
234.7,4.24,0.25,334,station_2,0
216.4,2.91,1.05,461,station_2,0
210.3,3.31,0.77,172,station_1,0
229.0,3.97,0.46,284,station_3,0
223.0,3.03,1.14,346,station_2,0
230.8,3.08,0.99,218,station_3,1
215.9,3.68,0.74,134,station_1,0
202.2,3.86,1.16,69,station_3,0
218.7,3.27,0.64,339,station_2,0
214.7,3.69,1.09,562,station_2,1
229.3,3.54,0.62,11,station_1,0
222.3,4.03,1.06,519,station_3,1
200.4,3.5,0.57,577,station_3,0
205.7,3.85,1.35,325,station_3,1
230.6,3.18,0.98,581,station_1,1
228.2,3.44,1.33,423,station_1,1
212.3,3.47,0.65,327,station_1,0
220.0,3.9,0.76,278,station_2,0
225.3,3.7,1.15,280,station_1,0
225.6,3.24,0.1,409,station_1,0
230.5,3.74,0.58,141,station_2,0
223.1,3.77,1.21,429,station_2,1
218.9,3.46,1.04,295,station_1,0
216.9,3.41,1.19,405,station_1,0
232.7,3.43,0.81,565,station_2,1
193.0,2.91,1.07,140,station_3,0
218.3,3.57,0.68,242,station_2,0
220.4,3.58,0.49,165,station_2,0
202.9,3.2,0.39,32,station_1,0
224.0,3.76,0.73,373,station_1,0
212.2,3.02,0.74,377,station_2,0
