timestamp,cpu_usage,memory_mb,network_kbps,label_anomaly
2024-01-01 00:00:00,16.3,853.2,138.7,0
2024-01-01 01:00:00,20.2,916.0,124.0,0
2024-01-01 02:00:00,6.0,830.7,162.8,0
2024-01-01 03:00:00,18.7,672.0,104.2,0
2024-01-01 04:00:00,12.5,804.4,133.0,0
2024-01-01 05:00:00,15.6,861.0,109.8,0
2024-01-01 06:00:00,16.7,823.6,125.9,0
2024-01-01 07:00:00,18.1,896.2,99.3,0
2024-01-01 08:00:00,22.5,910.9,147.9,0
2024-01-01 09:00:00,26.3,841.1,124.4,0
2024-01-01 10:00:00,19.2,760.6,149.8,0
2024-01-01 11:00:00,28.2,933.0,88.3,0
2024-01-01 12:00:00,23.1,1058.6,125.8,1
2024-01-01 13:00:00,37.2,976.5,134.3,1
2024-01-01 14:00:00,33.4,1025.0,163.8,1
2024-01-01 15:00:00,39.7,817.2,188.0,1
2024-01-01 16:00:00,32.6,873.6,142.4,1
2024-01-01 17:00:00,24.6,824.9,162.2,1
2024-01-01 18:00:00,17.3,914.7,119.0,0
2024-01-01 19:00:00,21.3,793.8,106.1,0
2024-01-01 20:00:00,13.9,967.1,124.7,0
2024-01-01 21:00:00,18.7,796.2,141.9,0
2024-01-01 22:00:00,19.0,907.3,97.4,0
2024-01-01 23:00:00,23.2,882.7,120.0,0
2024-01-02 00:00:00,21.3,840.8,118.1,0
2024-01-02 01:00:00,22.1,914.8,131.7,0
2024-01-02 02:00:00,16.1,760.0,118.4,0
2024-01-02 03:00:00,19.2,931.5,119.6,0
2024-01-02 04:00:00,24.7,846.2,95.2,0
2024-01-02 05:00:00,29.0,817.5,120.5,0
2024-01-02 06:00:00,12.4,895.0,97.0,0
2024-01-02 07:00:00,29.1,913.6,132.9,0
2024-01-02 08:00:00,28.1,896.2,117.4,0
2024-01-02 09:00:00,24.7,970.0,121.0,0
2024-01-02 10:00:00,43.2,968.4,130.3,1
2024-01-02 11:00:00,30.3,879.3,139.1,1
2024-01-02 12:00:00,37.5,913.9,208.5,1
2024-01-02 13:00:00,58.1,870.6,186.8,1
2024-01-02 14:00:00,39.9,967.3,268.4,1
2024-01-02 15:00:00,27.9,848.9,118.7,0
2024-01-02 16:00:00,22.1,868.1,150.1,0
2024-01-02 17:00:00,12.8,875.6,116.9,0
2024-01-02 18:00:00,20.0,900.7,129.9,0
2024-01-02 19:00:00,23.9,843.9,129.1,0
2024-01-02 20:00:00,12.3,829.0,126.6,0
2024-01-02 21:00:00,22.4,800.3,136.5,0
2024-01-02 22:00:00,22.6,796.5,112.4,0
2024-01-02 23:00:00,24.2,920.3,121.0,0
2024-01-03 00:00:00,12.9,844.9,133.4,0
2024-01-03 01:00:00,16.0,897.2,163.7,0
2024-01-03 02:00:00,17.4,772.2,98.9,0
2024-01-03 03:00:00,21.3,869.7,139.7,1
2024-01-03 04:00:00,35.0,1020.6,138.2,1
2024-01-03 05:00:00,25.9,907.6,126.6,1
2024-01-03 06:00:00,32.9,959.0,217.5,1
2024-01-03 07:00:00,18.4,869.9,122.3,0
2024-01-03 08:00:00,29.5,801.9,149.6,0
2024-01-03 09:00:00,27.9,842.2,144.4,0
2024-01-03 10:00:00,23.8,832.1,118.8,0
2024-01-03 11:00:00,6.8,829.3,108.3,0
2024-01-03 12:00:00,20.3,699.6,111.3,0
2024-01-03 13:00:00,24.1,798.5,111.1,0
2024-01-03 14:00:00,26.0,838.6,114.4,0
2024-01-03 15:00:00,16.3,941.0,80.7,0
2024-01-03 16:00:00,30.9,859.6,108.5,0
2024-01-03 17:00:00,22.9,1108.0,165.4,1
2024-01-03 18:00:00,27.2,934.0,125.2,1
2024-01-03 19:00:00,32.1,931.2,104.5,1
2024-01-03 20:00:00,23.6,703.4,216.3,1
2024-01-03 21:00:00,32.0,877.8,106.7,0
2024-01-03 22:00:00,21.1,882.8,109.0,0
2024-01-03 23:00:00,16.2,955.8,133.5,0
2024-01-04 00:00:00,17.7,820.8,114.1,0
2024-01-04 01:00:00,13.5,855.6,125.4,0
2024-01-04 02:00:00,12.3,807.7,136.7,0
2024-01-04 03:00:00,23.8,779.4,130.5,0
