timestamp,id,cpu_usage,memory_mb,network_kbps,response_time_ms
2024-01-01 00:00:00,a,10,800,100,28
2024-01-01 00:00:00,b,30,1200,200,52
2024-01-01 01:00:00,a,12,820,110,30
2024-01-01 01:00:00,b,32,1220,210,54
2024-01-01 02:00:00,a,14,840,120,32
2024-01-01 02:00:00,b,34,1240,220,56
2024-01-01 03:00:00,a,16,860,130,35
2024-01-01 03:00:00,b,36,1260,230,59
2024-01-01 04:00:00,a,18,880,140,37
2024-01-01 04:00:00,b,38,1280,240,61
2024-01-01 05:00:00,a,20,900,150,39
2024-01-01 05:00:00,b,40,1300,250,63
2024-01-01 06:00:00,a,22,920,160,41
2024-01-01 06:00:00,b,42,1320,260,65
2024-01-01 07:00:00,a,24,940,170,43
2024-01-01 07:00:00,b,44,1340,270,67
2024-01-01 08:00:00,a,26,960,180,46
2024-01-01 08:00:00,b,46,1360,280,70
2024-01-01 09:00:00,a,28,980,190,48
2024-01-01 09:00:00,b,48,1380,290,72
2024-01-01 10:00:00,a,30,1000,200,50
2024-01-01 10:00:00,b,50,1400,300,74
2024-01-01 11:00:00,a,32,1020,210,52
2024-01-01 11:00:00,b,52,1420,310,76
2024-01-01 12:00:00,a,34,1040,220,54
2024-01-01 12:00:00,b,54,1440,320,78
2024-01-01 13:00:00,a,36,1060,230,57
2024-01-01 13:00:00,b,56,1460,330,81
2024-01-01 14:00:00,a,38,1080,240,59
2024-01-01 14:00:00,b,58,1480,340,83
2024-01-01 15:00:00,a,38,1080,240,59
2024-01-01 15:00:00,b,58,1480,340,83
2024-01-01 16:00:00,a,36,1060,230,57
2024-01-01 16:00:00,b,56,1460,330,81
2024-01-01 17:00:00,a,34,1040,220,54
2024-01-01 17:00:00,b,54,1440,320,78
2024-01-01 18:00:00,a,32,1020,210,52
2024-01-01 18:00:00,b,52,1420,310,76
2024-01-01 19:00:00,a,30,1000,200,50
2024-01-01 19:00:00,b,50,1400,300,74
2024-01-01 20:00:00,a,28,980,190,48
2024-01-01 20:00:00,b,48,1380,290,72
2024-01-01 21:00:00,a,26,960,180,46
2024-01-01 21:00:00,b,46,1360,280,70
2024-01-01 22:00:00,a,24,940,170,43
2024-01-01 22:00:00,b,44,1340,270,67
2024-01-01 23:00:00,a,22,920,160,41
2024-01-01 23:00:00,b,42,1320,260,65
2024-01-02 00:00:00,a,20,900,150,39
2024-01-02 00:00:00,b,40,1300,250,63
2024-01-02 01:00:00,a,18,880,140,37
2024-01-02 01:00:00,b,38,1280,240,61
2024-01-02 02:00:00,a,16,860,130,35
2024-01-02 02:00:00,b,36,1260,230,59
2024-01-02 03:00:00,a,14,840,120,32
2024-01-02 03:00:00,b,34,1240,220,57
2024-01-02 04:00:00,a,12,820,110,30
2024-01-02 04:00:00,b,32,1220,210,54
2024-01-02 05:00:00,a,10,800,100,28
2024-01-02 05:00:00,b,30,1200,200,52
